Name,Gender,Handicap,Host
Sitara Sevcik,F,27.3,FALSE
Njeri Aritza,F,17.6,FALSE
Elsa Heikkinen,F,19.2,FALSE
Lene Leonardsen,F,24.4,FALSE
Hedi Kock,F,32.7,FALSE
Robin Spijker,F,17.1,FALSE
Eliza Akerman,F,29,FALSE
Marlyn Windsor,F,39.2,FALSE
Brianne Bowman,F,24.5,FALSE
Ea Leitzke,F,25.8,FALSE
Sharalyn Jansen,F,11.4,FALSE
Robin Hackerman,F,27.7,FALSE
Mary Lou Renard,F,21.3,FALSE
Ashtyn Kay,F,23.7,FALSE
Melanie Dufour,F,20.8,FALSE
Lillia Janzen,F,36.7,FALSE
Emilia Stoddard,F,22.4,FALSE
Anne Marquardt,F,26.8,FALSE
Elisabet Idermark,F,26.2,TRUE
Abraham Thompson,M,15.8,FALSE
Magnus Thomas,M,14,FALSE
Emil Dominguez,M,14.1,FALSE
Louis Hale,M,19.5,FALSE
Sabas Solos,M,13.6,FALSE
Leon Herbertson,M,16.9,FALSE
Seymour Ellsworth,M,11,FALSE
Robbe Gruber,M,15.7,FALSE
Leonard Althaus,M,13.5,FALSE
Barret Vogts,M,18.4,FALSE
Adolf Haley,M,24.2,FALSE
Sheldon Herberts,M,20.2,FALSE
Rodge Wang,M,19.6,FALSE
Valentin Habicht,M,22.9,FALSE
Barrett Haanraats,M,15.5,FALSE
Eddie Sorgh,M,13.3,FALSE
Humphrey Burns,M,18.9,FALSE
Sylvanus Arntzenius,M,18.7,FALSE
Yann Thatcher,M,13,FALSE
Mardoqueo Brisbois,M,28.9,FALSE
Johnny Herberts,M,8.9,FALSE
Winfield Byquist,M,7.2,FALSE
Reinout Vogt,M,13.7,FALSE
Dariel Hummel,M,12.5,FALSE
Bo Donaldson,M,16.4,FALSE
Gunne Adam,M,8.5,FALSE
Åke Hahn,M,13.6,FALSE
Hasso Jernigan,M,11.4,FALSE
Eindride Martinsen,M,15.5,FALSE
Hartmann Pearson,M,17.5,FALSE
Damien Goodwin,M,28.2,FALSE
Thomas Idermark,M,13,TRUE
